PUID,SOLUTION
14278,0
14279,0
14280,1
14281,1
14282,0
14283,0
14284,0
14285,0
14286,0
14287,1
14288,0
14289,0
14290,0
14291,0
14292,0
14293,0
14294,0
14295,0
14296,0
14297,0
14298,0
14299,0
14300,0
14301,0
14302,0
14303,0
14304,1
14305,0
14306,1
14307,0
14308,1
14309,0
14310,0
14311,0
14312,0
14313,1
14314,0
14315,0
14316,0
14317,0
14318,0
14319,0
14320,0
14321,0
14322,0
14323,0
14324,0
14325,1
14326,0
14327,0
14328,0
14329,0
14330,0
14331,0
14332,1
14333,0
14564,0
14565,0
14566,0
14567,0
14568,0
14569,0
14570,0
14571,0
14572,0
14573,1
14574,0
14575,0
14576,0
14577,0
14578,0
14579,0
14580,0
14581,0
14582,0
14583,1
14584,0
14585,0
14586,0
14587,1
14588,0
14589,0
14590,0
14591,1
14592,1
14593,0
14594,1
14595,1
14596,1
14597,0
14598,0
14599,0
14600,0
14601,0
14602,0
14603,0
14604,0
14605,0
14606,0
14607,0
14608,0
14609,0
14610,0
14611,0
14612,0
14613,0
14614,0
14615,0
14616,0
14617,1
14618,1
14619,0
14620,0
14621,0
14622,0
14623,0
14855,0
14856,0
14857,0
14858,0
14859,0
14860,0
14861,0
14862,1
14863,1
14864,0
14865,0
14866,0
14867,0
14868,0
14869,0
14870,0
14871,0
14872,0
14873,0
14874,0
14875,0
14876,1
14877,0
14878,1
14879,0
14880,0
14881,0
14882,0
14883,0
14884,0
14885,0
14886,0
14887,1
14888,0
14889,0
14890,0
14891,0
14892,0
14893,0
14894,0
14895,0
14896,0
14897,0
14898,0
14899,0
14900,1
14901,0
14902,1
14903,0
14904,0
14905,0
14906,0
14907,0
14908,0
14909,0
14910,0
14911,1
14912,0
14913,1
14914,0
15144,0
15145,0
15146,0
15147,0
15148,0
15149,1
15150,0
15151,0
15152,0
15153,0
15154,0
15155,0
15156,0
15157,0
15158,0
15159,0
15160,0
15161,0
15162,0
15163,0
15164,1
15165,0
15166,0
15167,0
15168,0
15169,0
15170,0
15171,0
15172,0
15173,0
15174,0
15175,1
15176,0
15177,1
15178,1
15179,0
15180,0
15181,0
15182,0
15183,1
15184,0
15185,0
15186,0
15187,0
15188,0
15189,0
15190,0
15191,0
15192,0
15193,0
15194,0
15195,1
15196,0
15197,0
15198,1
15199,1
15200,0
15201,0
15202,0
15203,0
15204,0
15431,1
15432,0
15433,0
15434,0
15435,0
15436,0
15437,0
15438,0
15439,0
15440,1
15441,0
15442,0
15443,1
15444,0
15445,0
15446,0
15447,0
15448,1
15449,0
15450,0
15451,0
15452,0
15453,0
15454,0
15455,0
15456,0
15457,0
15458,0
15459,0
15460,0
15461,1
15462,0
15463,0
15464,0
15465,0
15466,1
15467,1
15468,0
15469,1
15470,1
15471,0
15472,1
15473,0
15474,0
15475,0
15476,0
15477,0
15478,0
15479,0
15480,0
15481,0
15482,0
15483,0
15484,0
15485,0
15486,1
15487,0
15488,0
15489,0
15490,0
15491,1
15492,1
15493,0
15516,0
15722,0
15723,0
15724,1
15725,0
15726,0
15727,0
15728,0
15729,0
15730,0
15731,0
15732,0
15733,0
15734,0
15735,0
15736,0
15737,0
15738,0
15739,0
15740,0
15741,0
15742,0
